#223.15,0.4087 bar,TRUE,702.00,1.0,24.13,1.0,24.60,1.0
#228.15,0.5454 bar,TRUE,696.04,1.0,23.91,1.0,23.94,1.0
#233.15,0.7177 bar,TRUE,689.99,1.0,23.67,1.0,23.29,1.0
#238.15,0.9319 bar,TRUE,683.85,1.0,23.42,1.0,22.65,1.0
#243.15,1.196 bar,TRUE,677.64,1.0,23.18,1.0,22.03,1.0
#248.15,1.516 bar,TRUE,671.37,1.0,22.91,1.0,21.42,1.0
#253.15,1.902 bar,TRUE,665.03,1.0,22.65,1.0,20.82,1.0
#258.15,2.363 bar,TRUE,658.54,1.0,22.38,1.0,20.23,1.0
#263.15,2.908 bar,TRUE,651.98,1.0,22.09,1.0,19.66,1.0
#268.15,3.548 bar,TRUE,645.33,1.0,21.80,1.0,19.10,1.0
273.15,4.294 bar,TRUE,638.57,1.0,21.51,1.0,18.56,1.0
#278.15,5.157 bar,TRUE,631.67,1.0,21.20,1.0,18.02,1.0
#283.15,6.149 bar,TRUE,624.69,1.0,20.88,1.0,17.50,1.0
#288.15,7.283 bar,TRUE,617.55,1.0,20.56,1.0,17.00,1.0
#293.15,8.571 bar,TRUE,610.28,1.0,20.22,1.0,16.50,1.0
#298.15,10.03 bar,TRUE,602.85,1.0,19.88,1.0,16.02,1.0
#303.15,11.66 bar,TRUE,595.24,1.0,19.52,1.0,15.56,1.0
#308.15,13.5 bar,TRUE,588.16,1.0,19.14,1.0,15.10,1.0
#313.15,15.54 bar,TRUE,579.48,1.0,18.75,1.0,14.66,1.0
#318.15,17.81 bar,TRUE,571.30,1.0,18.44,1.0,14.23,1.0
323.15,20.32 bar,TRUE,562.87,1.0,17.92,1.0,13.82,1.0
#328.15,23.1 bar,TRUE,554.20,1.0,17.92,0.0,13.82,0.0
#333.15,26.13 bar,TRUE,545.23,1.0,17.92,0.0,13.82,0.0
#338.15,29.47 bar,TRUE,535.96,1.0,17.92,0.0,13.82,0.0
#343.15,33.12 bar,TRUE,526.32,1.0,17.92,0.0,13.82,0.0
#348.15,37.11 bar,TRUE,516.26,1.0,17.92,0.0,13.82,0.0
#353.15,41.44 bar,TRUE,505.71,1.0,17.92,0.0,13.82,0.0
#358.15,46.14 bar,TRUE,494.63,1.0,17.92,0.0,13.82,0.0
#363.15,51.23 bar,TRUE,482.90,1.0,17.92,0.0,13.82,0.0
#368.15,56.72 bar,TRUE,470.41,1.0,17.92,0.0,13.82,0.0
#373.15,62.64 bar,TRUE,456.93,1.0,17.92,0.0,13.82,0.0
